AF9-I-T72-R1 	 48183434 	 47887120 	 296314 	 266818
AF9-I-T72-R2 	 57828762 	 57367252 	 461510 	 408197
AF9-I-T72-R3 	 58516842 	 58236115 	 280727 	 249752
MF11-C-T0-R1 	 56041740 	 56041717 	 23 	 19
MF11-C-T0-R2 	 47841310 	 47841278 	 32 	 29
MF11-C-T0-R3 	 49165564 	 49165545 	 19 	 17
MF11-C-T60-R1 	 50911778 	 50911688 	 90 	 66
MF11-C-T60-R2 	 47491882 	 47491797 	 85 	 75
MF11-C-T60-R3 	 45264440 	 45264393 	 47 	 37
MF11-C-T6-R1 	 51198934 	 51198926 	 8 	 6
MF11-C-T6-R2 	 61384166 	 61384166 	 0 	 0
MF11-C-T6-R3 	 57306800 	 57306800 	 0 	 0
MF11-I-T12-R1 	 49581848 	 49581804 	 44 	 36
MF11-I-T12-R2 	 35367404 	 35367324 	 80 	 72
MF11-I-T12-R3 	 47151868 	 47151858 	 10 	 10
MF11-I-T24-R1 	 57017652 	 56972103 	 45549 	 38604
MF11-I-T24-R2 	 49436340 	 49301067 	 135273 	 114167
MF11-I-T24-R3 	 52247164 	 52237684 	 9480 	 8299
MF11-I-T48-R1 	 51024578 	 50436370 	 588208 	 536310
MF11-I-T48-R2 	 52080594 	 51565015 	 515579 	 467841
MF11-I-T48-R3 	 48020502 	 47369426 	 651076 	 592405
MF11-I-T60-R1 	 45319520 	 44927963 	 391557 	 353660
MF11-I-T60-R2 	 42200894 	 41719105 	 481789 	 409817
MF11-I-T60-R3 	 49249850 	 48631900 	 617950 	 538331
MF11-I-T6-R1 	 44616540 	 44616536 	 4 	 4
MF11-I-T6-R2 	 42308628 	 42308628 	 0 	 0
MF11-I-T6-R3 	 43432026 	 43432024 	 2 	 0
MF11-I-T72-R1 	 44766720 	 44114879 	 651841 	 538840
MF11-I-T72-R2 	 41480984 	 40874596 	 606388 	 495646
MF11-I-T72-R3 	 51618764 	 51356674 	 262090 	 220533
MF21-C-T0-R1 	 55877446 	 55877415 	 31 	 27
MF21-C-T0-R2 	 55178368 	 55178312 	 56 	 47
MF21-C-T0-R3 	 53249630 	 53249580 	 50 	 44
MF21-C-T60-R1 	 53263220 	 53263158 	 62 	 54
MF21-C-T60-R2 	 47621138 	 47621028 	 110 	 98
MF21-C-T60-R3 	 47443114 	 47443082 	 32 	 28
MF21-C-T6-R1 	 39916876 	 39916876 	 0 	 0
MF21-C-T6-R2 	 43833358 	 43833358 	 0 	 0
MF21-C-T6-R3 	 50351894 	 50351894 	 0 	 0
MF21-I-T12-R1 	 52222258 	 52222258 	 0 	 0
MF21-I-T12-R2 	 46904092 	 46904092 	 0 	 0
MF21-I-T12-R3 	 58665390 	 58665388 	 2 	 2
MF21-I-T24-R1 	 49129474 	 49129472 	 2 	 2
MF21-I-T24-R2 	 51097456 	 51097450 	 6 	 6
MF21-I-T24-R3 	 53915516 	 53915512 	 4 	 3
MF21-I-T48-R1 	 45726696 	 45726680 	 16 	 16
MF21-I-T48-R2 	 51200054 	 51185692 	 14362 	 13280
MF21-I-T48-R3 	 49873430 	 49873406 	 24 	 20
MF21-I-T60-R1 	 49373682 	 49373506 	 176 	 157
MF21-I-T60-R2 	 39416938 	 39416862 	 76 	 74
MF21-I-T60-R3 	 49825240 	 49824701 	 539 	 480
MF21-I-T6-R1 	 36564530 	 36564516 	 14 	 12
MF21-I-T6-R2 	 54967990 	 54967980 	 10 	 10
MF21-I-T6-R3 	 55228360 	 55228330 	 30 	 26
MF21-I-T72-R1 	 46820108 	 46819978 	 130 	 112
MF21-I-T72-R2 	 50929258 	 50929217 	 41 	 33
MF21-I-T72-R3 	 53495552 	 53495539 	 13 	 7
MF32-C-T0-R1 	 38607238 	 38607238 	 0 	 0
MF32-C-T0-R2 	 33768070 	 33768070 	 0 	 0
MF32-C-T0-R3 	 34865678 	 34865678 	 0 	 0
MF32-C-T60-R1 	 48851290 	 48851263 	 27 	 21
MF32-C-T60-R2 	 49297132 	 49296800 	 332 	 282
MF32-C-T60-R3 	 53204114 	 53203849 	 265 	 235
MF32-C-T6-R1 	 57671738 	 57671736 	 2 	 2
MF32-C-T6-R2 	 51776940 	 51776936 	 4 	 4
MF32-C-T6-R3 	 35905448 	 35905448 	 0 	 0
MF32-I-T12-R1 	 55423132 	 55423124 	 8 	 8
MF32-I-T12-R2 	 47832228 	 47832215 	 13 	 12
MF32-I-T12-R3 	 48969800 	 48969796 	 4 	 4
MF32-I-T24-R1 	 45920148 	 45876455 	 43693 	 39448
MF32-I-T24-R2 	 43668918 	 43663180 	 5738 	 4967
MF32-I-T24-R3 	 51113828 	 51104652 	 9176 	 7812
MF32-I-T48-R1 	 54028190 	 53146143 	 882047 	 808300
MF32-I-T48-R2 	 52200034 	 51718084 	 481950 	 439502
MF32-I-T48-R3 	 43220758 	 42755684 	 465074 	 428438
MF32-I-T60-R1 	 50790932 	 50256477 	 534455 	 479948
MF32-I-T60-R2 	 52057342 	 51579941 	 477401 	 427072
MF32-I-T60-R3 	 54348622 	 53675729 	 672893 	 600116
MF32-I-T6-R1 	 58256008 	 58256008 	 0 	 0
MF32-I-T6-R2 	 43384532 	 43384532 	 0 	 0
MF32-I-T6-R3 	 32954242 	 32954242 	 0 	 0
MF32-I-T72-R1 	 49092940 	 49003188 	 89752 	 79945
MF32-I-T72-R2 	 48817498 	 48603887 	 213611 	 185805
MF32-I-T72-R3 	 53489848 	 53190392 	 299456 	 251972
MF44-C-T0-R1 	 48325456 	 48325456 	 0 	 0
MF44-C-T0-R2 	 45341862 	 45341862 	 0 	 0
MF44-C-T0-R3 	 50854252 	 50854252 	 0 	 0
MF44-C-T60-R1 	 52832408 	 52832163 	 245 	 219
MF44-C-T60-R2 	 43562372 	 43562301 	 71 	 53
MF44-C-T60-R3 	 54255216 	 54255177 	 39 	 31
MF44-C-T6-R1 	 62178556 	 62178556 	 0 	 0
MF44-C-T6-R2 	 32601904 	 32601904 	 0 	 0
MF44-C-T6-R3 	 51206044 	 51206040 	 4 	 4
MF44-I-T12-R1 	 49659924 	 49659924 	 0 	 0
MF44-I-T12-R2 	 58032320 	 58032314 	 6 	 6
MF44-I-T12-R3 	 52883072 	 52883070 	 2 	 2
MF44-I-T24-R1 	 50437484 	 50437445 	 39 	 39
MF44-I-T24-R2 	 41873800 	 41873776 	 24 	 24
MF44-I-T24-R3 	 48306178 	 48306166 	 12 	 12
MF44-I-T48-R1 	 51864516 	 51864484 	 32 	 28
MF44-I-T48-R2 	 57367094 	 57367057 	 37 	 33
MF44-I-T48-R3 	 43761554 	 43761544 	 10 	 8
MF44-I-T60-R1 	 49563872 	 49563504 	 368 	 327
MF44-I-T60-R2 	 51126102 	 51125979 	 123 	 113
MF44-I-T60-R3 	 49105022 	 49104969 	 53 	 43
MF44-I-T6-R1 	 57922080 	 57922080 	 0 	 0
MF44-I-T6-R2 	 44776204 	 44776204 	 0 	 0
MF44-I-T6-R3 	 38802414 	 38802414 	 0 	 0
MF44-I-T72-R1 	 47248860 	 47248850 	 10 	 8
MF44-I-T72-R2 	 51572896 	 51571086 	 1810 	 1621
MF44-I-T72-R3 	 49347914 	 49347740 	 174 	 160
MF9-C-T0-R1 	 43599760 	 43599735 	 25 	 23
MF9-C-T0-R2 	 37282412 	 37282392 	 20 	 17
MF9-C-T0-R3 	 46748090 	 46748075 	 15 	 15
MF9-C-T60-R1 	 46714570 	 46714283 	 287 	 253
MF9-C-T60-R2 	 52455890 	 52455818 	 72 	 63
MF9-C-T60-R3 	 49561802 	 49561691 	 111 	 96
MF9-C-T6-R1 	 57765278 	 57765276 	 2 	 2
MF9-C-T6-R2 	 60175734 	 60175734 	 0 	 0
MF9-C-T6-R3 	 58938946 	 58938944 	 2 	 2
MF9-I-T12-R1 	 51631968 	 51631966 	 2 	 2
MF9-I-T12-R2 	 54895244 	 54895244 	 0 	 0
MF9-I-T12-R3 	 55539704 	 55539700 	 4 	 4
MF9-I-T24-R1 	 49034434 	 49034255 	 179 	 157
MF9-I-T24-R2 	 22915512 	 22915484 	 28 	 24
MF9-I-T24-R3 	 45428114 	 45428110 	 4 	 4
MF9-I-T48-R1 	 45957062 	 45932084 	 24978 	 21983
MF9-I-T48-R2 	 51627940 	 51608937 	 19003 	 17099
MF9-I-T48-R3 	 55320774 	 55310894 	 9880 	 8767
MF9-I-T60-R1 	 45709098 	 45615281 	 93817 	 85304
MF9-I-T60-R2 	 46068238 	 46064353 	 3885 	 3590
MF9-I-T60-R3 	 50555174 	 50554061 	 1113 	 1010
MF9-I-T6-R1 	 58439316 	 58439314 	 2 	 2
MF9-I-T6-R2 	 58791008 	 58791008 	 0 	 0
MF9-I-T6-R3 	 50383790 	 50383790 	 0 	 0
MF9-I-T72-R1 	 47500008 	 47497037 	 2971 	 2721
MF9-I-T72-R2 	 45730392 	 45684878 	 45514 	 37698
MF9-I-T72-R3 	 44862698 	 44861560 	 1138 	 1015
